,ein,org_name,city,state_code,total_board,asian_board,black_board,hispanic_board,middle_eastern_board,native_american_board,pacific_islander_board,white_board,multi_racial_board,other_ethnicity_board,race_decline_to_state_board,race_unknown_board,female_board,male_board,non_binary_board,gender_decline_to_state_board,gender_unknown_board,trans_board,cis_board,total_senior_staff,asian_senior_staff,black_senior_staff,hispanic_senior_staff,middle_eastern_senior_staff,native_american_senior_staff,pacific_islander_senior_staff,white_senior_staff,multi_racial_senior_staff,other_ethnicity_senior_staff,race_decline_to_state_senior_staff,race_unknown_senior_staff,female_senior_staff,male_senior_staff,non_binary_senior_staff,gender_decline_to_state_senior_staff,gender_unknown_senior_staff,trans_senior_staff,cis_senior_staff,total_staff,asian_staff,black_staff,hispanic_staff,middle_eastern_staff,native_american_staff,pacific_islander_staff,white_staff,multi_racial_staff,other_ethnicity_staff,race_decline_to_state_staff,race_unknown_staff,female_staff,male_staff,non_binary_staff,gender_decline_to_state_staff,gender_unknown_staff,trans_staff,cis_staff,average_female_salary,average_male_salary,pay_gap,percent_male,percent_female,avg_employee_comp,highest_salary,total_compensation,web_address,num_employees,total_revenue
951,86-0256667,A New Leaf Inc,Mesa,AZ,27.0,,7.4074074074074066,3.7037037037037033,,,,88.88888888888889,,,,,48.14814814814815,51.85185185185185,,,,,,5.0,,,,,,,100.0,,,,,80.0,20.0,,,,,,507.0,1.9723865877712032,9.072978303747536,39.05325443786983,,1.9723865877712032,1.9723865877712032,40.03944773175542,1.9723865877712032,,3.9447731755424074,,79.09270216962526,20.907297830374755,,,,,,159798.0,240150.5,33.45922660997999,0.5,0.5,30865.592417061613,276540.0,20337817.0,WWW.TURNANEWLEAF.ORG,637,31662926.0
952,86-0348306,Arizona Community Foundation,PHOENIX,AZ,32.0,6.25,12.5,15.625,,6.25,,53.125,6.25,,0.0,0.0,43.75,56.25,0.0,0.0,0.0,0.0,100.0,8.0,,,25.0,,,,75.0,,,,,62.5,37.5,,,,,100.0,72.0,1.3888888888888888,6.944444444444445,26.38888888888889,,2.7777777777777777,,62.5,,,,,73.61111111111111,26.38888888888889,,,,1.3888888888888888,98.61111111111111,246211.4,335041.75,26.513218128785443,0.4444444444444444,0.5555555555555556,71926.49350649351,687131.0,8109564.0,WWW.AZFOUNDATION.ORG,86,211703650.0
953,86-0407179,Southwest Human Development,Phoenix,AZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,880.0,1.1363636363636365,7.386363636363637,45.909090909090914,,1.25,,42.27272727272727,2.0454545454545454,,,,,,,,,,,180470.3333333333,165335.0,-9.154343202185467,0.25,0.75,40064.92551369863,232967.0,48209325.0,WWW.SWHD.ORG,1176,65223466.0
954,86-0500753,Central Arizona Shelter Services Inc,PHOENIX,AZ,12.0,,16.666666666666664,0.0,,,,83.33333333333334,,,,,41.66666666666667,58.333333333333336,,,,,100.0,8.0,,12.5,25.0,,,,62.5,,,,,37.5,62.5,,,,,100.0,73.0,0.0,12.32876712328767,28.767123287671232,0.0,0.0,,28.767123287671232,13.6986301369863,10.95890410958904,,5.47945205479452,67.12328767123287,32.87671232876712,,,,,,210409.0,0.0,-1.0,0.0,1.0,39301.52136752137,303893.0,5019096.0,WWW.CASSAZ.ORG,119,22356024.0
955,86-0521062,Umom New Day Centers Inc,Phoenix,AZ,30.0,3.333333333333333,6.666666666666667,6.666666666666667,,,,83.33333333333334,,,,,63.33333333333333,36.66666666666666,,,,,,5.0,,40.0,,,,,60.0,,,,,60.0,40.0,,,,,100.0,229.0,,,,,,,,,,,100.0,,,,,100.0,,,159189.5,245894.5,35.26105707935721,0.5,0.5,30406.3622754491,287320.0,10965893.0,WWW.UMOM.ORG,338,21978699.0
956,86-0550646,Boys & Girls Clubs of the Valley Inc,Phoenix,AZ,48.0,,12.5,4.166666666666666,,,,75.0,4.166666666666666,,,2.0,27.08333333333333,72.91666666666666,,,,0.0,100.0,9.0,11.11111111111111,,11.11111111111111,,,,77.77777777777779,,,,,66.66666666666666,33.33333333333333,,,,,,325.0,1.5384615384615383,11.076923076923077,41.23076923076923,,0.6153846153846154,,27.692307692307693,3.3846153846153846,,,14.461538461538462,67.38461538461539,31.692307692307693,,,0.9230769230769232,,,225528.2,165271.0,-36.45963296646115,0.2857142857142857,0.7142857142857143,20273.136904761905,398375.0,15081731.0,WWW.BGCAZ.ORG,679,34353301.0
957,86-0733182,The Primavera Foundation Inc,TUCSON,AZ,18.0,11.11111111111111,11.11111111111111,11.11111111111111,,,,61.11111111111112,,,1.0,,55.55555555555556,44.44444444444444,,,,,,6.0,,,33.33333333333333,,,,66.66666666666666,,,,,83.33333333333334,16.666666666666664,,,,,100.0,106.0,0.9433962264150944,6.60377358490566,39.62264150943396,,3.7735849056603774,,38.67924528301887,4.716981132075472,,3.7735849056603774,1.8867924528301887,64.15094339622641,35.84905660377358,,,,,,157994.0,0.0,-1.0,0.0,1.0,21694.39896373057,157994.0,4345013.0,WWW.PRIMAVERA.ORG,194,11969146.0
958,86-0814898,Chiricahua Community Health Centers Inc,ELFRIDA,AZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,404.0,2.9702970297029703,3.4653465346534658,60.148514851485146,,,,29.950495049504948,1.2376237623762376,,,2.2277227722772275,,,,,,,,291377.0,284433.6666666667,-2.441108120112357,0.75,0.25,64990.59688195991,324061.0,31470134.0,WWW.CCHCI.ORG,457,55152190.0
959,87-0540039,Midtown Community Health Center Inc,Ogden,UT,11.0,,,9.090909090909092,9.090909090909092,,9.090909090909092,72.72727272727273,,,,,45.45454545454545,54.54545454545454,,,,,100.0,11.0,,9.090909090909092,9.090909090909092,,,9.090909090909092,72.72727272727273,,,,,54.54545454545454,45.45454545454545,,,,9.090909090909092,90.9090909090909,188.0,,1.0638297872340423,59.04255319148937,,0.5319148936170213,,26.595744680851062,1.0638297872340423,,10.638297872340424,1.0638297872340423,78.19148936170212,21.808510638297875,,,,,,196861.0,269107.0,26.84657032332864,0.75,0.25,52259.269230769234,325131.0,12878292.0,WWW.MIDTOWNCHC.ORG,216,22469963.0
960,87-0745629,The Alliance for Climate Protection,Washington,DC,,,,,,,,,,,,,,,,,,,,22.0,,4.545454545454546,,,,,54.54545454545454,,,9.090909090909092,31.818181818181817,36.36363636363637,18.181818181818183,4.545454545454546,4.545454545454546,36.36363636363637,,59.09090909090909,58.0,3.4482758620689653,3.4482758620689653,5.172413793103448,,,,50.0,6.896551724137931,,,31.03448275862069,50.0,8.620689655172415,5.172413793103448,3.4482758620689653,32.758620689655174,1.7241379310344829,58.620689655172406,213430.25,250488.8,14.79449380571107,0.5555555555555556,0.4444444444444444,61478.0099009901,476422.0,8315444.0,WWW.CLIMATEREALITYPROJECT.ORG,110,26022257.0
