,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,ein,average_female_salary,average_male_salary,pay_gap,percent_male,percent_female,avg_employee_comp,highest_salary,total_compensation,web_address,num_employees,total_revenue,org_name,HighestCompensatedEmployeeInd_percent_female,IndividualTrusteeOrDirectorInd_percent_female,OfficerInd_percent_female,KeyEmployeeInd_percent_female,FormerOfcrDirectorTrusteeInd_percent_female
10761,12396,28939,1074582,272831224.0,329788.0,0.0,-1.0,0.0,100.0,50808.95238095238,329788.0,3530752.0,PASSAGES-SPOKANE.ORG,64,6363986.0,PASSAGES FAMILY SUPPORTA NONPROFIT CORPORATION,,40.0,33.33333333333333,,
10763,12401,28950,1075294,272967414.0,0.0,233292.25,100.0,100.0,0.0,19413.782978723404,363715.0,5495408.0,WWW.AMELIAISLANDCLUB.COM,239,13194414.0,AMELIA ISLAND EQUITY CLUB INC,0.0,25.0,25.0,,
10764,12402,28956,1075545,273009280.0,0.0,154958.0,100.0,100.0,0.0,35783.45977011494,154958.0,3268119.0,WWW.MOUNTAINEERS.ORG,88,6541842.0,THE MOUNTAINEERS,,35.0,10.0,,
10765,12403,28957,1075627,273024104.0,151922.0,0.0,-1.0,0.0,100.0,55959.81818181818,151922.0,4460828.0,FCWCS.ORG,78,7848987.0,COMMUNITY LEADERS ADVOCATING STUDENTSUCCESS INC,,85.71428571428571,50.0,,
10767,12405,28963,1075822,273061563.0,188964.0,329769.5,42.69815734930004,50.0,50.0,39484.181818181816,163378.0,2335008.0,WWW.SAFY.ORG,59,4809540.0,SPECIALIZED ALTERNATIVES FOR FAMILIES &YOUTH OF ALABAMA INC,,57.14285714285714,66.66666666666666,,
10769,12407,28969,1076016,273095854.0,161770.0,0.0,-1.0,0.0,100.0,57941.27741935484,161770.0,9142668.0,WWW.EXTERASCHOOLS.ORG,156,14037364.0,EXTERA PUBLIC SCHOOLS,,75.0,50.0,,
10772,12410,28976,1076424,273166349.0,177205.5,204321.0,13.271029409605472,60.0,40.0,30753.0685840708,244921.0,14867761.0,WWW.GROWPUBLICSCHOOLS.ORG,457,28189186.0,GROW PUBLIC SCHOOL,60.0,0.0,20.0,,
10773,12411,28977,1076556,273188239.0,244799.0,219858.5,-11.343887091015358,22.22222222222222,77.77777777777779,68190.73737373737,325781.0,42658608.0,WWW.NOAHHELPS.ORG,603,67181075.0,NEIGHBORHOOD OUTREACH ACCESS TOHEALTH,60.0,50.0,100.0,,
10776,12416,28998,1077973,273412984.0,162098.0,0.0,-1.0,0.0,100.0,39515.510344827584,162098.0,5891847.0,HOPESERVICESHAWAII.ORG,146,13817907.0,HOPE SERVICES HAWAII INC,,40.0,40.0,,
10778,12420,29002,1078062,273428380.0,0.0,160164.0,100.0,100.0,0.0,15134.0,160164.0,962266.0,CICLAVIA.ORG,54,1284171.0,CICLAVIA INC,,45.45454545454545,71.42857142857143,,
